id,name,producer,nation,local1,varieties1,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
137406,"Ruffino, Fonte Al Sole", Ruffino, Italy, Toscana,Sangiovese,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN2,19.0,2011.0,750.0
137407,"Ruffino, Il Ducale Toscana", Ruffino, Italy, Toscana,Sangiovese,Red,Table,13~14,15~18,SWEET1,ACIDITY3,BODY4,TANNIN3,41.81,2018.0,750.0
137408,"Ruffino, Modus", Ruffino, Italy, Toscana,Sangiovese,Red,Table,14.5,15~18,SWEET1,ACIDITY3,BODY5,TANNIN4,98.82,2017.0,750.0
137409,"Ruffino, Romitorio di Santidame", Ruffino, Italy, Toscana,Colorino,Red,Table,13.5,16~19,SWEET1,ACIDITY4,BODY4,TANNIN4,174.83,2006.0,750.0
137410,"35 South, Reserva Cabernet Sauvignon",  San Pedro, Chile,  Central Valley,Cabernet Sauvignon,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,20.52,2017.0,750.0
137411,35 South Reserva Merlot,  San Pedro, Chile,  Central Valley,Merlot,Red,Table,14~15,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,20.52,2016.0,750.0
137412,Amigo Cabernet Sauvignon,  San Pedro, Chile,  Central Valley,Cabernet Sauvignon,Red,Table,12~13,16~18,SWEET2,ACIDITY4,BODY3,TANNIN3,10.64,2017.0,750.0
137413,Amigo Merlot,  San Pedro, Chile,  Central Valley,Merlot,Red,Table,12~13,16~18,SWEET2,ACIDITY3,BODY3,TANNIN2,10.64,2017.0,750.0
137416,"San Pedro, Molina Reserva Carmenere",  San Pedro, Chile,  Maule Valley,Carmenere,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,30.41,2017.0,750.0
137417,"San Pedro, Castillo de Molina Reserva Chardonnay",  San Pedro, Chile,  Curico Valley,Chardonnay,White,Table,14,9~11,SWEET1,ACIDITY2,BODY3,TANNIN1,30.41,2011.0,750.0
137418,"San Pedro, Gato Negro Cabernet Sauvignon",  San Pedro, Chile,  Central Valley,Cabernet Sauvignon,Red,Table,13~14,15~17,SWEET1,ACIDITY3,BODY2,TANNIN3,19.0,2017.0,750.0
